'Renouvellement urbain';'popp_thematic_axes';'';'plain_text';'0';''
'Évolution du bocage';'popp_thematic_axes';'';'plain_text';'41';''
'Camping caravaning en presqu’île de Crozon';'popp_thematic_axes';'';'plain_text';'28';''
'Vallées et bocage';'popp_thematic_axes';'';'plain_text';'15';''
'Activité économique';'popp_thematic_axes';'';'plain_text';'42';''
'Artificialisation du trait de côte';'popp_thematic_axes';'';'plain_text';'26';''
'Érosion littorale sur le Pays de St Brieuc';'popp_thematic_axes';'Érosion littorale sur le Pays de St Brieuc';'filtered_html';'38';''
'Mesures compensatoires (Mares, Boisement, Zones Humides)';'popp_thematic_axes';'';'plain_text';'6';''
'Travaux et Aménagements en lien avec la LGV (Mur anti-bruit, Dépôts, Aménagement Paysager, PGF, Rescindements…)';'popp_thematic_axes';'';'plain_text';'4';''
'Démantèlement de la centrale de Brennilis';'popp_thematic_axes';'';'plain_text';'24';''
'Infrastructure routière';'popp_thematic_axes';'';'plain_text';'34';''
'Urbanisation du littoral';'popp_thematic_axes';'';'plain_text';'12';''
'Intégration paysagère de la ligne';'popp_thematic_axes';'';'plain_text';'18';''
'Bâtiments agricoles';'popp_thematic_axes';'';'plain_text';'27';''
'Dynamique des paysages (paysages agricoles)';'popp_thematic_axes';'';'plain_text';'21';''
