"4 voies"
"aéroport"
"aire de covoiturage"
"aire de mobile home"
"alignement d’arbres"
"aménagement"
"aménagement littoral saisonnier"
"animal d’élevage"
"animal domestique"
"animal sauvage"
"antenne"
"arbre isolé"
"arrêt de bus"
"banc"
"barrage"
"barrière"
"base de loisirs"
"bassin de retenue"
"bassin lacustre"
"bâti"
"bâtiment d’élevage (porcherie, poulailler…)"
"bâti relatif au patrimoine"
"bief de moulin"
"bois"
"bosquet"
"bureau"
"cale"
"camping"
"camping car"
"canal"
"capteur solaire"
"caravanning"
"carrière"
"casino"
"centrale électrique"
"centrale nucléaire"
"centre commercial"
"chantier"
"château d’eau"
"chemin"
"chemins"
"cimetière"
"cordon de galet"
"cours d’eau"
"culture"
"culture céréalière"
"culture fourragère (dont maïs)"
"culture fruitière"
"culture maraîchère"
"décharge"
"digue"
"drain/irrigation"
"dune"
"eau continentale"
"eau stagnante"
"eau traitée"
"écluse"
"édifice, espace public"
"édifice militaire"
"édifice religieux"
"énergie"
"enrochement"
"ensemble résidentiel urbain"
"entreprise"
"éolienne"
"équipement collectif"
"équipement culturel"
"équipement public"
"espace public"
"estran"
"estuaire"
"étang"
"étendue d'eau"
"exploitation agricole"
"faune"
"ferme"
"fontaine"
"forêt"
"forêt de conifère"
"forêt de feuillus"
"forêt mixte"
"fossé"
"fosse à lisier"
"fossés"
"friche"
"friche agricole"
"friche industrielle"
"friches végétales"
"ganivelle"
"gare"
"golf"
"gravière"
"groupe"
"habitat"
"habitat urbain"
"Haie agricole"
"haie résidentielle"
"hangar agricole"
"hôtel"
"humain"
"immeuble de grande hauteur"
"incendie"
"individus"
"infrastructures aériennes"
"infrastructures et réseaux"
"infrastructure sportive"
"inondation"
"intersection"
"jachère"
"jetée"
"lac"
"lac artificiel"
"lampadaire"
"lande haute"
"lande rase"
"ligne électrique"
"lisière / limites"
"littoral"
"loisir / tourisme"
"magasin"
"maison individuelle"
"maison isolée"
"marais"
"mare"
"mer"
"méthanisation"
"milieu"
"mine"
"mobilier urbain"
"monument"
"moulin"
"muret"
"mytiliculture"
"œuvre d’art public"
"ostériculture"
"panneau solaire (thermique et photovoltaïque)"
"parabole"
"parc de stationnement"
"parcs et jardins privés"
"parcs et jardins publics"
"parking"
"passage à niveau"
"passage piéton"
"petit patrimoine"
"peupleraies"
"phare"
"phénomènes"
"phénomènes naturels ou anthropiques"
"piscine"
"piste cyclable"
"place"
"place de stationnement"
"plage"
"pont"
"port"
"potagers"
"poubelle"
"prairie"
"prairie complantée"
"prairie humide"
"pré-salé"
"publicité"
"pylône"
"raz de marée"
"réseau hertzien"
"réseau routier"
"réseaux ferroviaire et aérien"
"réservoir d’eau"
"ripisylve"
"rivière"
"rocher"
"rond point"
"route (2 voies) voiture"
"rue"
"sablière"
"sécheresse"
"séisme"
"sentier littoral"
"serre"
"shorre"
"signalétique de sentier"
"signalisation"
"silo"
"site industriel"
"slikke"
"sujet"
"taillis"
"talus"
"tempête (vent)"
"terrain de jeux"
"tourbière"
"transformateur"
"transport en commun"
"trottoir"
"tunnel"
"usine de traitement de l’eau"
"vasière"
"végétation"
"végétation ornementale"
"végétation ornementale"
"versants"
"viaduc"
"voie de bus"
"voie de tramway"
"voie ferrée"
"zone humide"
"zone piétonnière"
